County,Zipcode,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Date
Alamance,37001,36.04,-79.4,63,0,0,0,2020-04-23T00:00:00Z
Alexander,37003,35.92,-81.18,4,0,0,0,2020-04-23T00:00:00Z
Alleghany,37005,36.49,-81.13,2,0,0,0,2020-04-23T00:00:00Z
Anson,37007,34.97,-80.1,19,0,0,0,2020-04-23T00:00:00Z
Ashe,37009,36.43,-81.5,4,0,0,0,2020-04-23T00:00:00Z
Beaufort,37013,35.49,-76.84,16,0,0,0,2020-04-23T00:00:00Z
Bertie,37015,36.07,-76.97,31,1,0,0,2020-04-23T00:00:00Z
Bladen,37017,34.61,-78.56,5,0,0,0,2020-04-23T00:00:00Z
Brunswick,37019,34.07,-78.23,39,2,0,0,2020-04-23T00:00:00Z
Buncombe,37021,35.61,-82.53,49,3,0,0,2020-04-23T00:00:00Z
Burke,37023,35.75,-81.71,83,8,0,0,2020-04-23T00:00:00Z
Cabarrus,37025,35.39,-80.55,236,7,0,0,2020-04-23T00:00:00Z
Caldwell,37027,35.95,-81.55,26,0,0,0,2020-04-23T00:00:00Z
Carteret,37031,34.89,-76.54,27,3,0,0,2020-04-23T00:00:00Z
Caswell,37033,36.39,-79.33,13,0,0,0,2020-04-23T00:00:00Z
Catawba,37035,35.66,-81.21,47,1,0,0,2020-04-23T00:00:00Z
Chatham,37037,35.7,-79.26,156,6,0,0,2020-04-23T00:00:00Z
Cherokee,37039,35.13,-84.06,16,1,0,0,2020-04-23T00:00:00Z
Chowan,37041,36.13,-76.6,6,0,0,0,2020-04-23T00:00:00Z
Clay,37043,35.06,-83.74,6,0,0,0,2020-04-23T00:00:00Z
Cleveland,37045,35.34,-81.55,45,2,0,0,2020-04-23T00:00:00Z
Columbus,37047,34.27,-78.66,76,5,0,0,2020-04-23T00:00:00Z
Craven,37049,35.12,-77.08,37,4,0,0,2020-04-23T00:00:00Z
Cumberland,37051,35.05,-78.83,154,6,0,0,2020-04-23T00:00:00Z
Currituck,37053,36.36,-75.96,2,0,0,0,2020-04-23T00:00:00Z
Dare,37055,35.67,-75.72,15,1,0,0,2020-04-23T00:00:00Z
Davidson,37057,35.79,-80.21,107,2,0,0,2020-04-23T00:00:00Z
Davie,37059,35.93,-80.54,24,2,0,0,2020-04-23T00:00:00Z
Duplin,37061,34.93,-77.93,41,0,0,0,2020-04-23T00:00:00Z
Durham,37063,36.04,-78.88,500,9,0,0,2020-04-23T00:00:00Z
Edgecombe,37065,35.91,-77.59,62,1,0,0,2020-04-23T00:00:00Z
Forsyth,37067,36.13,-80.25,143,5,0,0,2020-04-23T00:00:00Z
Franklin,37069,36.08,-78.29,77,13,0,0,2020-04-23T00:00:00Z
Gaston,37071,35.29,-81.17,126,3,0,0,2020-04-23T00:00:00Z
Gates,37073,36.45,-76.7,6,0,0,0,2020-04-23T00:00:00Z
Granville,37077,36.3,-78.65,123,5,0,0,2020-04-23T00:00:00Z
Greene,37079,35.49,-77.68,14,0,0,0,2020-04-23T00:00:00Z
Guilford,37081,36.08,-79.79,240,16,0,0,2020-04-23T00:00:00Z
Halifax,37083,36.26,-77.66,40,1,0,0,2020-04-23T00:00:00Z
Harnett,37085,35.37,-78.87,74,5,0,0,2020-04-23T00:00:00Z
Haywood,37087,35.55,-82.98,5,0,0,0,2020-04-23T00:00:00Z
Henderson,37089,35.34,-82.48,145,14,0,0,2020-04-23T00:00:00Z
Hertford,37091,36.36,-76.98,14,1,0,0,2020-04-23T00:00:00Z
Hoke,37093,35.02,-79.24,34,0,0,0,2020-04-23T00:00:00Z
Iredell,37097,35.81,-80.87,94,3,0,0,2020-04-23T00:00:00Z
Jackson,37099,35.29,-83.14,5,0,0,0,2020-04-23T00:00:00Z
Johnston,37101,35.52,-78.37,125,11,0,0,2020-04-23T00:00:00Z
Jones,37103,35.02,-77.36,12,2,0,0,2020-04-23T00:00:00Z
Lee,37105,35.48,-79.18,65,0,0,0,2020-04-23T00:00:00Z
Lenoir,37107,35.24,-77.64,34,1,0,0,2020-04-23T00:00:00Z
Lincoln,37109,35.49,-81.22,25,0,0,0,2020-04-23T00:00:00Z
Macon,37113,35.15,-83.42,2,1,0,0,2020-04-23T00:00:00Z
Martin,37117,35.84,-77.11,12,0,0,0,2020-04-23T00:00:00Z
McDowell,37111,35.68,-82.05,21,1,0,0,2020-04-23T00:00:00Z
Mecklenburg,37119,35.24,-80.83,1377,37,0,0,2020-04-23T00:00:00Z
Mitchell,37121,36.01,-82.16,5,0,0,0,2020-04-23T00:00:00Z
Montgomery,37123,35.33,-79.9,19,1,0,0,2020-04-23T00:00:00Z
Moore,37125,35.31,-79.48,104,6,0,0,2020-04-23T00:00:00Z
Nash,37127,35.97,-77.98,74,1,0,0,2020-04-23T00:00:00Z
New Hanover,37129,34.26,-77.87,74,3,0,0,2020-04-23T00:00:00Z
Northampton,37131,36.42,-77.4,75,2,0,0,2020-04-23T00:00:00Z
Onslow,37133,34.73,-77.43,39,1,0,0,2020-04-23T00:00:00Z
Orange,37135,36.06,-79.12,199,8,0,0,2020-04-23T00:00:00Z
Pamlico,37137,35.15,-76.67,6,0,0,0,2020-04-23T00:00:00Z
Pasquotank,37139,36.27,-76.25,33,1,0,0,2020-04-23T00:00:00Z
